Model,RMSD,MCQ,TM-score
best_rp17_2.pdb,,,0.202
best_rp17_17.pdb,,,0.184
best_rp17_37.pdb,,,0.291
best_rp17_54.pdb,,,0.267
best_rp17_27.pdb,,,0.384
best_rp17_99.pdb,,,0.305
best_rp17_79.pdb,,,0.301
best_rp17_29.pdb,,,0.213
best_rp17_46.pdb,,,0.273
best_rp17_7.pdb,,,0.139
best_rp17_47.pdb,,,0.241
best_rp17_93.pdb,,,0.195
best_rp17_64.pdb,,,0.235
best_rp17_70.pdb,,,0.307
best_rp17_48.pdb,,,0.215
best_rp17_69.pdb,,,0.176
best_rp17_62.pdb,,,0.245
best_rp17_103.pdb,,,0.29
best_rp17_11.pdb,,,0.152
best_rp17_20.pdb,,,0.225
best_rp17_60.pdb,,,0.294
best_rp17_105.pdb,,,0.184
best_rp17_31.pdb,,,0.179
best_rp17_36.pdb,,,0.23
best_rp17_15.pdb,,,0.25
best_rp17_77.pdb,,,0.246
best_rp17_21.pdb,,,0.291
best_rp17_68.pdb,,,0.228
best_rp17_5.pdb,,,0.188
best_rp17_39.pdb,,,0.206
best_rp17_25.pdb,,,0.177
best_rp17_10.pdb,,,0.186
best_rp17_19.pdb,,,0.332
best_rp17_92.pdb,,,0.286
best_rp17_49.pdb,,,0.217
best_rp17_63.pdb,,,0.337
best_rp17_18.pdb,,,0.139
best_rp17_6.pdb,,,0.233
best_rp17_35.pdb,,,0.193
best_rp17_74.pdb,,,0.322
best_rp17_3.pdb,,,0.287
best_rp17_43.pdb,,,0.233
best_rp17_34.pdb,,,0.212
best_rp17_72.pdb,,,0.2
best_rp17_58.pdb,,,0.346
best_rp17_24.pdb,,,0.258
best_rp17_42.pdb,,,0.153
best_rp17_52.pdb,,,0.346
best_rp17_95.pdb,,,0.168
best_rp17_110.pdb,,,0.212
best_rp17_61.pdb,,,0.246
best_rp17_50.pdb,,,0.222
best_rp17_100.pdb,,,0.264
best_rp17_73.pdb,,,0.234
best_rp17_108.pdb,,,0.178
best_rp17_91.pdb,,,0.259
best_rp17_85.pdb,,,0.174
best_rp17_90.pdb,,,0.187
best_rp17_86.pdb,,,0.311
best_rp17_101.pdb,,,0.182
best_rp17_45.pdb,,,0.184
best_rp17_14.pdb,,,0.43
best_rp17_82.pdb,,,0.183
best_rp17_88.pdb,,,0.2
best_rp17_107.pdb,,,0.169
best_rp17_81.pdb,,,0.182
best_rp17_57.pdb,,,0.214
best_rp17_38.pdb,,,0.204
best_rp17_8.pdb,,,0.218
best_rp17_28.pdb,,,0.201
best_rp17_9.pdb,,,0.248
best_rp17_106.pdb,,,0.263
best_rp17_96.pdb,,,0.2
best_rp17_109.pdb,,,0.215
best_rp17_76.pdb,,,0.22
best_rp17_40.pdb,,,0.208
best_rp17_23.pdb,,,0.273
best_rp17_78.pdb,,,0.215
best_rp17_33.pdb,,,0.291
best_rp17_102.pdb,,,0.177
best_rp17_32.pdb,,,0.358
best_rp17_56.pdb,,,0.265
best_rp17_80.pdb,,,0.191
best_rp17_97.pdb,,,0.245
best_rp17_41.pdb,,,0.254
best_rp17_16.pdb,,,0.253
best_rp17_65.pdb,,,0.176
best_rp17_84.pdb,,,0.267
best_rp17_98.pdb,,,0.16
best_rp17_26.pdb,,,0.212
best_rp17_44.pdb,,,0.287
